"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"توريد وتركيب قطع غيار واصلاح اليات الدفاع المدني بمنطقة الجوف ( JF 25 62 0047 )","2025-11-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ai1E72uwcahTnpSvAc3Lhg==","2025-11-03","2025-11-05","اصلاح"
"اصلاح وتأمين قطع غيار سيارات آليات تابعة لإدارة الدفاع المدني بمحافظة المويه","2025-11-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=SnGyV8UVP9Mz7AK6nQzNHA==","2025-11-12","2025-11-14","اصلاح"
"صيانة واصلاح لجهاز طبي بغرفة العمليات بمستشفى الهدا","2025-10-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=M9r%20gNrJp4Tn4L9zEdLJUg==","2025-11-04","2025-11-06","اصلاح"
"طلب اصلاح وصيانة عدد (3) سيارات شيفروليه تاهو موديل (2015) وعدد (1) سيارة فورد تورس موديل (2015)","2025-10-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=dIRAiBlhjLBelQ8KOB7E7g==","2025-11-09","2025-11-16","اصلاح"
"اصلاح تانكي اكتروس عدد (1) ومقطورة عدد (2) لنقل المحروقات","2025-10-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6GrlAHleNzUNymQU4pvPhg==","2025-11-03","2025-11-07","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Y5BpvGgZyDYhoKoU*@@**3075w==","2025-11-20","2025-11-23","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kHN4nzHgkJa6JB4L03yUzg==","2025-11-02","2025-11-04","اصلاح"
"بيان تأمين وتوريد واصلاح قطع غيار لاداره الدفاع المدني بمحافظه الدرعية ومراكزها التابعة لمديريه الدف ...","2025-10-28","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ULhVNgaMfKV2oFIJcBIl7g==","2025-10-30","2025-11-01","اصلاح"
"اصلاح حادث للمركبة من نوع كامري موديل 2011 لوحة رقم (ب ط م 4103)","2025-10-28","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=%20sjHiHVPmP7dMmslLCYu3w==","2025-11-20","2025-11-20","اصلاح"
"اصلاح حادث للمركبة باص هايس موديل 2015 لوحة رقم (ب أ ح 1840)","2025-10-28","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=r3LRvHEoEUTbKp0HaGVXJw==","2025-11-20","2025-11-20","اصلاح"
"اصلاح مع توفير قطع غيار لرافعه شوكية من نوع (LINDE) بمركز الغسيل الكلوي بجدة التابعة للشؤون الصحية ...","2025-10-28","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=2IoONJG%20NC7g4sYEKIjhXw==","2025-10-30","2025-11-01","اصلاح"
"تأمين قطع غيار واصلاح اليات بإدارة الدفاع المدني بمنطقة مكة المكرمة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=e5XsqZaTnau9Uxg9G8qcIw==","2025-10-31","2025-11-02","اصلاح"
"تأمين قطع غيار واصلاح الاليات التابعة لمديرية المنطقة الشرقية و الإدارات التابعة لها و الفروع DM 25 ...","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=uLOupDh9BU66vCJv5jST0Q==","2025-10-31","2025-11-02","اصلاح"
"تامين قطع غيار واصلاح الآلية التابعة لمديرية المنطقة الشرقية DM 25 62 0188","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=s89Jz*@@**HsjUTXvey0GtETAA==","2025-11-13","2025-11-13","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=2KzrPcL2*@@**loPUlluOBYMZw==","2025-11-05","2025-11-07","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=TRM76j3YXzBGq8LdaBYHYw==","2025-11-19","2025-11-23","اصلاح"
"تأمين اصلاح إطارات اليات ومعدات الدفاع المدني بمنطقة مكة المكرمة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7pKJfbCWTaXnLBo190o9YA==","2025-11-16","2025-11-16","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vaShbAdftjpuxM0AKe7rGA==","2025-11-05","2025-11-07","اصلاح"
"اعمال اصلاح وصيانة لشعبة الدفاع المدني الميدانية بالأسكان الجنوبي بمحافظة جدة","2025-10-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7dlrMeH4lK%2044GbFZa9dWg==","2025-10-31","2025-11-02","اصلاح"
"خدمة تصنيع منصة اصلاح متحركة بالعجلات مقاوم للرياح و الامطار و الحرارة","2025-10-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=H%20GQM2ZtZdReX2SBcgFLsw==","2025-10-29","2025-10-30","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sS7*@@**atSRRm0jD0sGd8uV8w==","2025-11-04","2025-11-06","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4rZfe5jIKXy%207ujQsSVz3Q==","2025-10-28","2025-10-30","اصلاح"
"صيانة واصلاح لجهاز طبي بمستشفى الهدا العسكري","2025-10-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=p*@@**ruTnY1wtBp%20W04M87l0A==","2025-11-09","2025-11-09","اصلاح"
"اصلاح وصيانة جهاز الصهر بالغاز وملحقاته","2025-10-22","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=tjBN9WffD5*@@**3FmYrajFkmw==","2025-11-12","2025-11-13","اصلاح"
"تأمين قطع غيار و اصلاح الاليات التابعة لمديرية المنطقة الشرقية والادارات التابعة لها و الفروع DM 25 ...","2025-10-22","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=H77tRDKR2J6bkg4*@@**NCpx1Q==","2025-10-25","2025-10-27","اصلاح"
"تأمين قطع غيار واصلاح اليات بإدارة الدفاع المدني بمنطقة مكة المكرمة","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=86v*@@**c8ozRZmRpBnKOv*@@**aXw==","2025-11-23","2025-11-23","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=NKvCV79wasj7JV0YOdDZkw==","2025-11-16","2025-11-16","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bXEiVBg*@@**4VmjRlMMVz%20TwA==","2025-11-20","2025-11-22","اصلاح"
