"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"-MA-Civil Materials for School Toilet Renovation at MC1 (WR-25-123)- JR700917","2025-09-04","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=dzc1g37wTyOvluYLqWWVfQ==","2025-09-07","2025-09-09","school"
"J-RT-plumbing materials for proposed MC1/ school toilet renovation ( WR-25-123 )-JR701326","2025-08-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=P1RFut6GD2QhD6esmGb34A==","2025-09-03","2025-09-05","school"
"BZ - توريد مقص مدرسي مطلي بالنيكل ومصقول بطرف دائري SCISSOR SCHOOL NICKEL PLATED AND POLISHED ROUN ...","2025-08-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Cu%20zdG3ynfbepHfl4X1RQA==","2025-08-27","2025-08-29","school"
